Feature,PValue,EtaSquared
r1_c3_L_std,0.00344524845294496,0.00971675127007447
r2_c4_L_mean,0.00351844831615257,0.00968487767773721
r4_c3_L_mean,0.00386127815902926,0.00954382772412517
r2_c2_L_std,0.00595518273890261,0.00888451878200645
r2_c2_S_std,0.0060620832560315,0.00885736921370339
r1_c1_L_mean,0.00917376357414936,0.00822332748029479
r3_c2_S_std,0.0135857220249521,0.00761881396175865
r1_c3_L_mean,0.0166565995546038,0.00730355213400435
r3_c2_L_std,0.0192638499617149,0.00707787758371597
r3_c3_S_std,0.0318561926538517,0.00629224334981706
r2_c1_L_mean,0.0682843388524881,0.00508279199054549
r4_c2_L_mean,0.0737501297096865,0.00495908955985824
r3_c1_L_mean,0.0847683903928768,0.00473453538701954
r2_c3_S_std,0.107093704262935,0.00435474352694765
r4_c1_L_mean,0.13361532148582,0.00399162962332675
r2_c3_L_std,0.155483770642339,0.00374048904506413
r3_c3_L_std,0.478395776317364,0.00177634030721456
r2_c2_L_mean,0.813015710371781,0.000681023900874884
r3_c2_L_mean,0.862840551704909,0.000532523713868841
r2_c3_L_mean,0.898667023082584,0.000422554835096233
r3_c3_L_mean,0.944886456893399,0.000270154344708336
